FillMethod,FillKVal,FillTime,FillRMSE,PredictMethod,BestK_TreeVal,Class/Regress,OutlierRate,MSE/Accuracy
kNN,13,0:00:00.292025,0.07735299821075728,kNN,16,Regression,10.02865329512894,0.5937536828566775
MICE,,0:13:00.428039,0.027835273396342786,kNN,16,Regression,6.876790830945558,0.6702620689483179
GAIN,,0:00:02.472974,0.31688766191138995,kNN,16,Regression,17.76504297994269,0.3168531387772776
Mean,,0:00:00.001000,0.1144418763497528,kNN,16,Regression,12.034383954154729,0.5411146178593609
Median,,0:00:00.002000,0.11239390737235039,kNN,16,Regression,12.034383954154729,0.5477976515535193
Min,,0:00:00,0.2792275953424966,kNN,16,Regression,13.46704871060172,0.4993803577032445
Max,,0:00:00,0.8294805872338097,kNN,16,Regression,18.33810888252149,0.30845814050444853
Full,,,,kNN,16,Regression,7.163323782234957,0.6801164000797558
kNN,13,0:00:00.292025,0.07735299821075728,kNN,15,Classification,8.30945558739255,0.4383954154727794
MICE,,0:13:00.428039,0.027835273396342786,kNN,15,Classification,5.444126074498567,0.47564469914040114
GAIN,,0:00:02.472974,0.31688766191138995,kNN,15,Classification,16.9054441260745,0.38968481375358166
Mean,,0:00:00.001000,0.1144418763497528,kNN,15,Classification,9.742120343839542,0.4183381088825215
Median,,0:00:00.002000,0.11239390737235039,kNN,15,Classification,10.02865329512894,0.4183381088825215
Min,,0:00:00,0.2792275953424966,kNN,15,Classification,12.607449856733524,0.42406876790830944
Max,,0:00:00,0.8294805872338097,kNN,15,Classification,17.478510028653297,0.38968481375358166
Full,,,,kNN,15,Classification,5.157593123209169,0.47277936962750716
kNN,13,0:00:00.292025,0.07735299821075728,RandomForest,29,Regression,9.742120343839542,0.5362894302883848
MICE,,0:13:00.428039,0.027835273396342786,RandomForest,29,Regression,8.882521489971346,0.5460726720520364
GAIN,,0:00:02.472974,0.31688766191138995,RandomForest,29,Regression,14.613180515759312,0.2555248921817673
Mean,,0:00:00.001000,0.1144418763497528,RandomForest,29,Regression,11.174785100286533,0.5140160461230106
Median,,0:00:00.002000,0.11239390737235039,RandomForest,29,Regression,10.315186246418339,0.5239916286356348
Min,,0:00:00,0.2792275953424966,RandomForest,29,Regression,12.034383954154729,0.46038790846228417
Max,,0:00:00,0.8294805872338097,RandomForest,29,Regression,12.607449856733524,0.298233087346198
Full,,,,RandomForest,29,Regression,8.595988538681949,0.5503304565471552
kNN,13,0:00:00.292025,0.07735299821075728,RandomForest,59,Classification,7.163323782234957,0.3868194842406877
MICE,,0:13:00.428039,0.027835273396342786,RandomForest,59,Classification,7.4498567335243555,0.38108882521489973
GAIN,,0:00:02.472974,0.31688766191138995,RandomForest,59,Classification,10.315186246418339,0.36962750716332377
Mean,,0:00:00.001000,0.1144418763497528,RandomForest,59,Classification,8.30945558739255,0.3868194842406877
Median,,0:00:00.002000,0.11239390737235039,RandomForest,59,Classification,7.736389684813753,0.37822349570200575
Min,,0:00:00,0.2792275953424966,RandomForest,59,Classification,8.022922636103152,0.38108882521489973
Max,,0:00:00,0.8294805872338097,RandomForest,59,Classification,10.02865329512894,0.3667621776504298
Full,,,,RandomForest,59,Classification,7.163323782234957,0.38108882521489973
